Year,Val
1880-01,-0.29
1881-01,-0.15
1882-01,0.14
1883-01,-0.31
1884-01,-0.15
1885-01,-0.59
1886-01,-0.42
1887-01,-0.72
1888-01,-0.37
1889-01,-0.11
1890-01,-0.44
1891-01,-0.41
1892-01,-0.28
1893-01,-0.79
1894-01,-0.53
1895-01,-0.44
1896-01,-0.25
1897-01,-0.14
1898-01,-0.03
1899-01,-0.19
1900-01,-0.37
1901-01,-0.23
1902-01,-0.2
1903-01,-0.26
1904-01,-0.68
1905-01,-0.4
1906-01,-0.28
1907-01,-0.41
1908-01,-0.43
1909-01,-0.68
1910-01,-0.44
1911-01,-0.63
1912-01,-0.26
1913-01,-0.41
1914-01,0.04
1915-01,-0.17
1916-01,-0.08
1917-01,-0.58
1918-01,-0.41
1919-01,-0.19
1920-01,-0.21
1921-01,-0.01
1922-01,-0.33
1923-01,-0.28
1924-01,-0.21
1925-01,-0.36
1926-01,0.2
1927-01,-0.26
1928-01,0
1929-01,-0.46
1930-01,-0.3
1931-01,-0.1
1932-01,0.14
1933-01,-0.34
1934-01,-0.24
1935-01,-0.33
1936-01,-0.29
1937-01,-0.13
1938-01,0.01
1939-01,-0.08
1940-01,-0.06
1941-01,0.21
1942-01,0.26
1943-01,-0.04
1944-01,0.35
1945-01,0.1
1946-01,0.15
1947-01,-0.13
1948-01,0.07
1949-01,0.09
1950-01,-0.33
1951-01,-0.35
1952-01,0.13
1953-01,0.08
1954-01,-0.28
1955-01,0.14
1956-01,-0.16
1957-01,-0.11
1958-01,0.39
1959-01,0.08
1960-01,-0.01
1961-01,0.07
1962-01,0.07
1963-01,-0.02
1964-01,-0.08
1965-01,-0.07
1966-01,-0.17
1967-01,-0.06
1968-01,-0.25
1969-01,-0.1
1970-01,0.09
1971-01,-0.02
1972-01,-0.24
1973-01,0.29
1974-01,-0.15
1975-01,0.07
1976-01,-0.01
1977-01,0.19
1978-01,0.06
1979-01,0.12
1980-01,0.3
1981-01,0.55
1982-01,0.1
1983-01,0.51
1984-01,0.3
1985-01,0.22
1986-01,0.28
1987-01,0.36
1988-01,0.57
1989-01,0.15
1990-01,0.4
1991-01,0.41
1992-01,0.44
1993-01,0.37
1994-01,0.27
1995-01,0.51
1996-01,0.25
1997-01,0.32
1998-01,0.6
1999-01,0.48
2000-01,0.24
2001-01,0.42
2002-01,0.75
2003-01,0.73
2004-01,0.59
2005-01,0.72
2006-01,0.56
2007-01,0.95
2008-01,0.22
2009-01,0.61
2010-01,0.73
2011-01,0.48
2012-01,0.45
2013-01,0.66
2014-01,0.73
2015-01,0.81
2016-01,1.15
2017-01,0.96
2018-01,0.78
1880-02,-0.18
1881-02,-0.17
1882-02,0.15
1883-02,-0.39
1884-02,-0.08
1885-02,-0.3
1886-02,-0.45
1887-02,-0.52
1888-02,-0.35
1889-02,0.19
1890-02,-0.45
1891-02,-0.47
1892-02,-0.11
1893-02,-0.54
1894-02,-0.33
1895-02,-0.41
1896-02,-0.14
1897-02,-0.14
1898-02,-0.29
1899-02,-0.4
1900-02,-0.02
1901-02,-0.03
1902-02,-0.04
1903-02,-0.05
1904-02,-0.59
1905-02,-0.59
1906-02,-0.3
1907-02,-0.51
1908-02,-0.3
1909-02,-0.47
1910-02,-0.44
1911-02,-0.58
1912-02,-0.12
1913-02,-0.43
1914-02,-0.11
1915-02,0
1916-02,-0.12
1917-02,-0.61
1918-02,-0.31
1919-02,-0.22
1920-02,-0.21
1921-02,-0.18
1922-02,-0.43
1923-02,-0.36
1924-02,-0.23
1925-02,-0.37
1926-02,0.07
1927-02,-0.17
1928-02,-0.07
1929-02,-0.59
1930-02,-0.27
1931-02,-0.23
1932-02,-0.18
1933-02,-0.34
1934-02,-0.04
1935-02,0.15
1936-02,-0.39
1937-02,0.03
1938-02,-0.02
1939-02,-0.08
1940-02,0.13
1941-02,0.32
1942-02,0.02
1943-02,0.13
1944-02,0.26
1945-02,-0.02
1946-02,0.07
1947-02,-0.08
1948-02,-0.16
1949-02,-0.17
1950-02,-0.28
1951-02,-0.43
1952-02,0.11
1953-02,0.14
1954-02,-0.13
1955-02,-0.18
1956-02,-0.26
1957-02,-0.04
1958-02,0.24
1959-02,0.09
1960-02,0.16
1961-02,0.19
1962-02,0.14
1963-02,0.2
1964-02,-0.13
1965-02,-0.17
1966-02,0
1967-02,-0.21
1968-02,-0.15
1969-02,-0.14
1970-02,0.22
1971-02,-0.19
1972-02,-0.16
1973-02,0.31
1974-02,-0.29
1975-02,0.06
1976-02,-0.06
1977-02,0.22
1978-02,0.14
1979-02,-0.1
1980-02,0.42
1981-02,0.41
1982-02,0.15
1983-02,0.4
1984-02,0.17
1985-02,-0.07
1986-02,0.39
1987-02,0.45
1988-02,0.43
1989-02,0.35
1990-02,0.41
1991-02,0.49
1992-02,0.42
1993-02,0.39
1994-02,0.02
1995-02,0.78
1996-02,0.48
1997-02,0.38
1998-02,0.9
1999-02,0.65
2000-02,0.56
2001-02,0.44
2002-02,0.76
2003-02,0.55
2004-02,0.72
2005-02,0.56
2006-02,0.68
2007-02,0.7
2008-02,0.34
2009-02,0.51
2010-02,0.79
2011-02,0.51
2012-02,0.47
2013-02,0.55
2014-02,0.52
2015-02,0.87
2016-02,1.34
