Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.02,0.04,0.06,-0.01,-0.11,-0.23,-0.17,0.07,-0.04,-0.13,-0.01,0.05
1881,-0.1,-0.08,0.07,0.11,0.1,-0.03,-0.06,-0.01,-0.03,-0.01,0,0.07
1882,0.07,0.08,0.08,0,0.01,-0.13,-0.03,0.04,-0.02,0.03,0.01,-0.07
1883,-0.03,-0.1,-0.08,-0.06,-0.07,0.02,-0.05,-0.03,-0.07,-0.05,-0.03,-0.05
1884,-0.07,-0.04,-0.09,-0.22,-0.31,-0.29,-0.21,-0.02,-0.09,-0.07,-0.12,-0.16
1885,-0.19,-0.23,-0.29,-0.32,-0.29,-0.41,-0.32,-0.18,-0.15,-0.1,-0.12,-0.1
1886,-0.17,-0.23,-0.2,-0.21,-0.17,-0.34,-0.23,-0.2,-0.16,-0.24,-0.17,-0.33
1887,-0.38,-0.46,-0.3,-0.34,-0.35,-0.26,-0.23,-0.12,-0.26,-0.23,-0.26,-0.23
1888,-0.22,-0.13,-0.25,-0.2,-0.28,-0.31,-0.21,-0.11,-0.06,0.02,0.06,0.14
1889,0.08,0.03,0.09,0.01,0.01,-0.13,-0.09,-0.21,-0.16,-0.1,-0.05,-0.03
1890,-0.23,-0.33,-0.35,-0.36,-0.42,-0.32,-0.28,-0.37,-0.38,-0.39,-0.27,-0.19
1891,-0.23,-0.26,-0.24,-0.22,-0.15,-0.25,-0.26,-0.22,-0.24,-0.16,-0.13,-0.05
1892,-0.11,-0.07,-0.14,-0.21,-0.21,-0.35,-0.27,-0.21,-0.13,-0.02,-0.03,-0.13
1893,-0.13,-0.19,-0.17,-0.29,-0.28,-0.35,-0.19,-0.2,-0.18,-0.09,-0.07,-0.06
1894,-0.2,-0.23,-0.28,-0.36,-0.35,-0.39,-0.27,-0.21,-0.22,-0.16,-0.03,-0.08
1895,-0.16,-0.08,-0.18,-0.25,-0.23,-0.21,-0.16,-0.06,-0.18,-0.1,-0.22,-0.06
1896,-0.07,-0.07,-0.02,0,-0.14,-0.28,-0.04,0,-0.01,0.11,0.11,0.12
1897,0.09,0.05,0.12,0.01,-0.15,-0.18,-0.12,-0.12,-0.11,-0.11,-0.12,-0.1
1898,-0.09,-0.15,-0.26,-0.36,-0.33,-0.29,-0.34,-0.34,-0.26,-0.31,-0.3,-0.24
1899,-0.25,-0.14,-0.16,-0.21,-0.2,-0.27,-0.15,-0.09,-0.05,-0.15,-0.12,-0.09
1900,-0.14,0,-0.09,-0.11,-0.16,-0.1,-0.11,-0.11,-0.1,-0.05,-0.03,-0.13
1901,-0.13,-0.14,-0.18,-0.17,-0.2,-0.28,-0.31,-0.25,-0.17,-0.3,-0.14,-0.16
1902,-0.23,-0.18,-0.2,-0.21,-0.27,-0.25,-0.26,-0.33,-0.25,-0.28,-0.27,-0.26
1903,-0.27,-0.26,-0.33,-0.39,-0.41,-0.41,-0.3,-0.38,-0.49,-0.5,-0.46,-0.5
1904,-0.54,-0.59,-0.61,-0.53,-0.62,-0.51,-0.46,-0.47,-0.48,-0.41,-0.3,-0.34
1905,-0.29,-0.38,-0.21,-0.25,-0.32,-0.27,-0.33,-0.2,-0.21,-0.25,-0.24,-0.1
1906,0.01,-0.02,-0.15,-0.14,-0.25,-0.31,-0.22,-0.26,-0.33,-0.24,-0.37,-0.34
1907,-0.29,-0.31,-0.27,-0.3,-0.33,-0.35,-0.32,-0.32,-0.29,-0.28,-0.37,-0.37
1908,-0.34,-0.37,-0.4,-0.42,-0.46,-0.46,-0.39,-0.36,-0.42,-0.45,-0.41,-0.45
1909,-0.51,-0.47,-0.41,-0.52,-0.6,-0.53,-0.46,-0.31,-0.39,-0.45,-0.52,-0.55
